"lang","country_alpha2_code","continent_code","continent"
"EN","SS","AF","Africa"
"EN","ST","AF","Africa"
"EN","SV","NA","North America"
"EN","SX","NA","North America"
"EN","SY","AS","Asia"
"EN","SZ","AF","Africa"
"EN","TC","NA","North America"
"EN","TD","AF","Africa"
"EN","TF","AN","Antarctica"
"EN","TG","AF","Africa"
"EN","TH","AS","Asia"
"EN","TJ","AS","Asia"
"EN","TK","OC","Oceania"
"EN","TL","AS","Asia"
"EN","TM","AS","Asia"
"EN","TN","AF","Africa"
"EN","TO","OC","Oceania"
"EN","TR","AS","Asia"
"EN","TR","EU","Europe"
"EN","TT","NA","North America"
"EN","TV","OC","Oceania"
"EN","TW","AS","Asia"
"EN","TZ","AF","Africa"
"EN","UA","EU","Europe"
"EN","UG","AF","Africa"
"EN","UM","OC","Oceania"
"EN","US","NA","North America"
"EN","UY","SA","South America"
"EN","UZ","AS","Asia"
"EN","VA","EU","Europe"
"EN","VC","NA","North America"
"EN","VE","SA","South America"
"EN","VG","NA","North America"
"EN","VI","NA","North America"
"EN","VN","AS","Asia"
"EN","VU","OC","Oceania"
"EN","WF","OC","Oceania"
"EN","WS","OC","Oceania"
"EN","YE","AS","Asia"
"EN","YT","AF","Africa"
"EN","ZA","AF","Africa"
"EN","ZM","AF","Africa"
"EN","ZW","AF","Africa"
